Brand,Names,Prices,Url
SanDisk,64GB Ultra OTG Dual USB Flash Drive 3.0,"₦ 3,810 ",https://www.jumia.com.ng/sandisk-64gb-ultra-otg-dual-usb-flash-drive-3.0-5711641.html
,YWYT Wired Gaming Mouse 4 Adjustable DPI 3200DPI Gaming,"₦ 1,750 ",https://www.jumia.com.ng/generic-ywyt-wired-gaming-mouse-4-adjustable-dpi-3200dpi-gaming-42285199.html
Hp,"255 AMD Quad Core (500GB HDD,4GB RAM,+32GB Flash Drive,Mouse,Fashion Sport Watch,USB Light) Windows 10 Laptop","₦ 81,000 ",https://www.jumia.com.ng/hp-255-amd-quad-core-500gb-hdd4gb-ram32gb-flash-drivemousefashion-sport-watchusb-light-windows-10-laptop-28934540.html
Hp,"15 Intel Core I3 2.4GHz Touch Screen (1TB HDD,8GB RAM) 15.6-Inch Windows 10","₦ 155,000 ",https://www.jumia.com.ng/hp-15-intel-core-i3-2.4ghz-touch-screen-1tb-hdd8gb-ram-15.6-inch-windows-10-44715373.html
Acer,Nitro 5 Gaming Intel Core I5-9300H 8GB RAM(Ugradable To 32GB)3GB NVIDIA GeForce 256GB SSD WINS 10,"₦ 288,000 ",https://www.jumia.com.ng/acer-nitro-5-gaming-intel-core-i5-9300h-8gb-ramugradable-to-32gb3gb-nvidia-geforce-256gb-ssd-wins-10-43787325.html
Hp,"255 AMD Quad Core (500GB HDD,4GB RAM,+32GB Flash Drive,Mouse,Fashion Sport Watch,USB Light) Windows 10 Laptop","₦ 81,000 ",https://www.jumia.com.ng/hp-255-amd-quad-core-500gb-hdd4gb-ram32gb-flash-drivemousefashion-sport-watchusb-light-windows-10-laptop-18862229.html
DELL,Vostro 15  Intel Core I5- (1TB Hdd 8GB RAM) Windows 10 + Free Bag,"₦ 182,500 ",https://www.jumia.com.ng/dell-vostro-15-intel-core-i5-1tb-hdd-8gb-ram-windows-10-free-bag-44487502.html
Hp,(15) 15.6-Inch Intel Core -i3 2.0GHz  8GB RAM 1TB HDD Windows 10 + 32GB Flash LED Lamp + Free Bag,"₦ 128,990 ",https://www.jumia.com.ng/15-intel-core-i3-1tb-hdd-8gb-ram-webcam-bluetooth-win-10-pro-hp-mpg1221305.html
Seagate,Backup Plus Slim 500gb Portable Storage,"₦ 8,450 ",https://www.jumia.com.ng/seagate-backup-plus-slim-500gb-portable-storage-21917043.html
Hp,"Notebook 15 Intel Core I3 (8GB RAM, 1TB HDD) 32GB Flash+Mouse+USB Light For Keyboard 15' Windows 10","₦ 129,000 ",https://www.jumia.com.ng/hp-notebook-15-intel-core-i3-8gb-ram-1tb-hdd-32gb-flashmouseusb-light-for-keyboard-15-windows-10-43757058.html
Bestrunner,128GB Flash Memory Stick Drive OTG For Phone / PC,"₦ 1,690 ",https://www.jumia.com.ng/bestrunner-128gb-flash-memory-stick-drive-otg-for-phone-pc-36891782.html
Hp,32GB Pendrive Flash Drive USB 2.0,"₦ 2,750 ",https://www.jumia.com.ng/hp-32gb-pendrive-flash-drive-usb-2.0-24946924.html
Apple,"Macbook Pro 15.4"" 2.9GHZ - 1TB SSD - 32GB Ram - Core I9 - Model 2018 Touch Bar (MR952LL/A)","₦ 1,700,000 ",https://www.jumia.com.ng/macbook-pro-15.4-2.9ghz-1tb-ssd-32gb-ram-core-i9-model-2018-touch-bar-mr952lla-apple-mpg1192849.html
